text,distress,framing,tension,is_labelled,household_relevance_score
Login failed: Too many attempts.,1,direct,1,1,0.81
"For your convenience, we have added a new ATM near you.",0,gentle,0,1,0.4077
We curated some investment articles just for you.,0,supportive,0,1,0.5067
"Your recurring transfer of $3,574.88 is scheduled for tomorrow.",0,direct,0,1,0.5093
"Wire transfer of $3,904.11 could not be completed.",1,direct,1,1,0.7793
It looks like spending is higher than usual. Here are some tips to manage it.,1,supportive,0,1,0.7796
"Your recurring transfer of $3,896.68 is scheduled for tomorrow.",0,direct,0,1,0.4042
Your contact information has been successfully updated.,0,direct,0,1,0.5064
We thought you'd like to know about our new mobile features.,0,gentle,0,1,0.4106
Just checking in: Is your mailing address still correct?,0,gentle,0,1,0.5386
Amazing! Your net worth increased by 5% this quarter.,0,celebratory,0,1,0.745
"Merchant refund of $1,930.09 processed.",0,direct,0,1,0.5398
Wire transfer of $209.73 could not be completed.,1,direct,1,1,0.766
We have refreshed the look of your dashboard.,0,gentle,0,1,0.4704
Your monthly statement for October is available.,0,direct,0,1,0.5908
"No action needed, just letting you know your transfer cleared.",0,gentle,0,1,0.4755
High utility bills this month? Compare rates in your area.,1,supportive,0,1,0.8421
Your interest rate has increased to 24.99% variable.,1,direct,1,1,0.9096
You have exceeded your monthly transfer limit.,1,direct,1,1,0.7561
Did you know? You can now lock your card from the app.,0,gentle,0,1,0.4726
Second Notice: Past due amount of $395.96 must be paid by Mar 2.,1,urgent,1,1,0.9409
"Just a heads up, bank holidays may affect processing times.",0,gentle,0,1,0.6441
"Urgent: Verify this transaction of $2,228.43 to prevent account lockout.",1,urgent,1,1,0.8765
Just checking in: Is your mailing address still correct?,0,gentle,0,1,0.607
You are eligible for a lower interest rate. Tap to apply.,0,supportive,0,1,0.7097
Smart move paying off that balance! Here is how to keep the momentum.,0,supportive,0,1,0.6931
Check #1903 for $41.84 was returned.,1,direct,1,1,0.9274
Protect your family's future with these life insurance options.,0,supportive,0,1,0.6859
Soft nudge: You have a document waiting to be signed.,0,gentle,0,1,0.5574
"Hi there, your e-statement is now available.",0,gentle,0,1,0.6406
Your new debit card has been shipped.,0,direct,0,1,0.498
"Congratulations! You reached your savings goal of $3,913.57!",0,celebratory,0,1,0.7438
"Merchant refund of $3,223.73 processed.",0,direct,0,1,0.6415
Your contact information has been successfully updated.,0,direct,0,1,0.6695
You have 3 days left in your billing cycle.,0,direct,0,1,0.4462
We curated some investment articles just for you.,0,supportive,0,1,0.7901
Friendly tip: Enable push notifications to stay updated.,0,gentle,0,1,0.4011
We curated some investment articles just for you.,0,supportive,0,1,0.5389
Your recurring payment to Walmart is coming up soon.,0,gentle,0,1,0.6373
You have 3 days left in your billing cycle.,0,direct,0,1,0.5972
Want to save for a vacation? Let's set up a new Goal bucket.,0,supportive,0,1,0.5191
"Hi there, your e-statement is now available.",0,gentle,0,1,0.6184
We have refreshed the look of your dashboard.,0,gentle,0,1,0.5955
Amazing! Your net worth increased by 5% this quarter.,0,celebratory,0,1,0.8184
Subscription renewal failed for Starbucks.,1,direct,1,1,0.7579
Login failed: Too many attempts.,1,direct,1,1,0.901
We have refreshed the look of your dashboard.,0,gentle,0,1,0.6111
We've paused interest charges on your account due to the declared emergency.,1,supportive,0,1,0.738
Reminder: You have $628.21 in unused rewards points.,0,gentle,0,1,0.4092
Just checking in: Is your mailing address still correct?,0,gentle,0,1,0.4094
"Urgent: Your account is overdrawn by $3,608.16. Immediate deposit required.",1,urgent,1,1,0.9043
Card 4095 activated successfully.,0,direct,0,1,0.6527
"Hi there, your e-statement is now available.",0,gentle,0,1,0.4927
We curated some investment articles just for you.,0,supportive,0,1,0.5636
Your weekly summary is ready for review.,0,gentle,0,1,0.6111
We noticed you shop at Whole Foods. Here is a 5% coupon for you.,0,supportive,0,1,0.7453
Smart move paying off that balance! Here is how to keep the momentum.,0,supportive,0,1,0.6178
Your monthly statement for October is available.,0,direct,0,1,0.4581
We noticed your credit score dropped. Here is a personalized plan to improve it.,1,supportive,0,1,0.93
Your access to online banking has been temporarily restricted.,1,urgent,1,1,0.9987
We thought you'd like to know about our new mobile features.,0,gentle,0,1,0.4813
Notice of adverse action regarding your application.,1,direct,1,1,0.9409
"If you're worried about fraud, we've got your back with $0 liability protection.",1,supportive,0,1,0.8481
Payment failed: Invalid account number.,1,direct,1,1,0.8301
Take control of your finances with our new budgeting widget.,0,supportive,0,1,0.5689
Cheers! You have $0 in fees this year.,0,celebratory,0,1,0.8463
Save time by setting up automatic transfers.,0,supportive,0,1,0.5255
Friendly tip: Enable push notifications to stay updated.,0,gentle,0,1,0.5211
Courtesy notice: Your trial subscription ends in 3 days.,0,gentle,0,1,0.666
High Five! You paid off your credit card balance in full.,0,celebratory,0,1,0.7768
Your financial wellness score is looking good. Here is how to maintain it.,0,supportive,0,1,0.6835
Happy Anniversary! Thanks for being with us for another year.,0,celebratory,0,1,0.8411
Victory! You stuck to your budget for 3 months straight.,0,celebratory,0,1,0.8697
High Five! You paid off your credit card balance in full.,0,celebratory,0,1,0.6104
"Let's set up a budget to handle that upcoming $2,060.61 expense.",1,supportive,0,1,0.7792
Courtesy notice: Your trial subscription ends in 3 days.,0,gentle,0,1,0.681
"Reminder: You have $3,364.85 in unused rewards points.",0,gentle,0,1,0.5507
Happy Anniversary! Thanks for being with us for another year.,0,celebratory,0,1,0.6697
A quick note: We have updated our branch hours.,0,gentle,0,1,0.5026
"Hi there, your e-statement is now available.",0,gentle,0,1,0.4336
Payment failed: Invalid account number.,1,direct,1,1,0.7264
We analyzed your subscriptions. You might want to review this $12.99 charge.,0,supportive,0,1,0.6574
Missed a payment? It happens. Let's get you back on track.,1,supportive,0,1,0.886
"Your recurring transfer of $3,735.43 is scheduled for tomorrow.",0,direct,0,1,0.6455
Your credit card ending in 5703 has been suspended due to missed payments.,1,urgent,1,1,0.8801
Overdraft Notice: You have been charged a $35.00 insufficiency fee.,1,urgent,1,1,0.8653
Smart move paying off that balance! Here is how to keep the momentum.,0,supportive,0,1,0.5147
Check #3283 has cleared.,0,direct,0,1,0.5088
You have achieved 'Gold Status' in our loyalty program.,0,celebratory,0,1,0.6517
"Whoo-hoo! Your tax refund of $4,170.10 has arrived.",0,celebratory,0,1,0.8472
Your contact information has been successfully updated.,0,direct,0,1,0.4135
Good news! You have pre-qualified for a rewards upgrade.,0,supportive,0,1,0.6121
A quick note: We have updated our branch hours.,0,gentle,0,1,0.4045
Transaction confirmation: You spent $253.32 at Walmart.,0,direct,0,1,0.4866
"Reminder: You have $2,750.40 in unused rewards points.",0,gentle,0,1,0.4068
Protect your family's future with these life insurance options.,0,supportive,0,1,0.6399
Your financial wellness score is looking good. Here is how to maintain it.,0,supportive,0,1,0.5674
"Whoo-hoo! Your tax refund of $2,513.58 has arrived.",0,celebratory,0,1,0.8012
Want to save for a vacation? Let's set up a new Goal bucket.,0,supportive,0,1,0.7558
You've earned a fee waiver for being a loyal customer.,0,celebratory,0,1,0.7906
Your credit card ending in 9704 has been suspended due to missed payments.,1,urgent,1,1,0.8734
A quick note: We have updated our branch hours.,0,gentle,0,1,0.6763
We have refreshed the look of your dashboard.,0,gentle,0,1,0.4062
"Check #1862 for $1,985.93 was returned.",1,direct,1,1,0.9273
A quick note: We have updated our branch hours.,0,gentle,0,1,0.6211
We analyzed your subscriptions. You might want to review this $12.99 charge.,0,supportive,0,1,0.6954
"When you have a moment, please review your beneficiary info.",0,gentle,0,1,0.4924
Please check your inbox for a message about your account.,0,gentle,0,1,0.4975
Your new debit card has been shipped.,0,direct,0,1,0.5044
Your contact information has been successfully updated.,0,direct,0,1,0.629
We analyzed your subscriptions. You might want to review this $12.99 charge.,0,supportive,0,1,0.6372
"Wire transfer of $3,344.66 could not be completed.",1,direct,1,1,0.9426
"Urgent: Verify this transaction of $4,191.54 to prevent account lockout.",1,urgent,1,1,0.9772
Support tip: Using ATMs in our network saves you fees.,0,supportive,0,1,0.6969
"Reward Unlocked: You earned $2,960.16 in cash back this month.",0,celebratory,0,1,0.8475
Urgent: Your account is overdrawn by $601.76. Immediate deposit required.,1,urgent,1,1,0.8689
"Struggling with the $2,319.67 balance? We have payment plans available.",1,supportive,0,1,0.762
Your access to online banking has been temporarily restricted.,1,urgent,1,1,0.9478
Did you know you can categorize your expenses? Let us show you how.,0,supportive,0,1,0.5843
Feeling overwhelmed by debt? Our financial advisors are free to chat.,1,supportive,0,1,0.8567
You are eligible for a lower interest rate. Tap to apply.,0,supportive,0,1,0.6365
A little reminder to check your monthly budget.,0,gentle,0,1,0.4511
Smart move paying off that balance! Here is how to keep the momentum.,0,supportive,0,1,0.7836
Cheers! You have $0 in fees this year.,0,celebratory,0,1,0.7325
Missed a payment? It happens. Let's get you back on track.,1,supportive,0,1,0.8951
Debit card 3687 was declined at Walmart.,1,direct,1,1,0.8857
You are eligible for a lower interest rate. Tap to apply.,0,supportive,0,1,0.5482
Your recurring payment to Target is coming up soon.,0,gentle,0,1,0.6365
Protect your family's future with these life insurance options.,0,supportive,0,1,0.7933
Profile update: Email address changed.,0,direct,0,1,0.4072
Don't worry about the overdraft. We covered it for you this time.,1,supportive,0,1,0.7853
"Your dispute regarding the $1,487.50 charge was resolved in favor of the merchant.",1,direct,1,1,0.9239
International transaction fee of $12.00 charged.,1,direct,1,1,0.8186
We've paused interest charges on your account due to the declared emergency.,1,supportive,0,1,0.7008
"Great job! You spent $1,468.08 less on dining out this week.",0,celebratory,0,1,0.6144
"Alert: A charge of $1,134.85 at Uber was declined.",1,urgent,1,1,0.9739
Just checking in: Is your mailing address still correct?,0,gentle,0,1,0.6662
Whoo-hoo! Your tax refund of $455.36 has arrived.,0,celebratory,0,1,0.7372
"No action needed, just letting you know your transfer cleared.",0,gentle,0,1,0.4223
Smart move paying off that balance! Here is how to keep the momentum.,0,supportive,0,1,0.7431
We have updated our Privacy Policy effective immediately.,0,direct,0,1,0.4176
"ATM withdrawal of $3,964.39 was successful.",0,direct,0,1,0.5125
You're a star! That's 6 months of on-time payments in a row.,0,celebratory,0,1,0.8255
"No action needed, just letting you know your transfer cleared.",0,gentle,0,1,0.5345
A late fee of $2.50 has been charged to your account.,1,direct,1,1,0.7999
Your loan account is in default. Please call 800-555-0199.,1,urgent,1,1,0.982
We curated some investment articles just for you.,0,supportive,0,1,0.7201
Your safety is our priority. Confirm this charge to unlock your card.,1,supportive,0,1,0.924
Your monthly statement for October is available.,0,direct,0,1,0.6264
Transaction confirmation: You spent $542.17 at Uber.,0,direct,0,1,0.5682
Smart move paying off that balance! Here is how to keep the momentum.,0,supportive,0,1,0.7369
Cheers! You have $0 in fees this year.,0,celebratory,0,1,0.6496
Did you know? You can now lock your card from the app.,0,gentle,0,1,0.6429
"Second Notice: Past due amount of $2,600.74 must be paid by Feb 1.",1,urgent,1,1,0.9801
We thought you'd like to know about our new mobile features.,0,gentle,0,1,0.5052
"Reminder: You have $4,063.69 in unused rewards points.",0,gentle,0,1,0.6811
"Hi there, your e-statement is now available.",0,gentle,0,1,0.6495
"Wire transfer of $2,784.79 could not be completed.",1,direct,1,1,0.7469
"Final Notice: Payment of $2,987.96 is 60 days overdue.",1,urgent,1,1,0.9316
Your new debit card has been shipped.,0,direct,0,1,0.4798
Save time by setting up automatic transfers.,0,supportive,0,1,0.6073
A little reminder to check your monthly budget.,0,gentle,0,1,0.5102
Paper statement fee of $39.00 applied.,1,direct,1,1,0.854
"Don't forget, your card expires next month.",0,gentle,0,1,0.6819
"Just a heads up, bank holidays may affect processing times.",0,gentle,0,1,0.6281
Maximize your cashback by using your card at Uber this week.,0,supportive,0,1,0.7336
Important: Your promotional APR is expiring. Balances will now accrue interest.,1,urgent,1,1,0.9283
"When you have a moment, please review your beneficiary info.",0,gentle,0,1,0.5641
"When you have a moment, please review your beneficiary info.",0,gentle,0,1,0.448
Courtesy notice: Your trial subscription ends in 3 days.,0,gentle,0,1,0.4745
We've paused interest charges on your account due to the declared emergency.,1,supportive,0,1,0.8295
Smart move paying off that balance! Here is how to keep the momentum.,0,supportive,0,1,0.5356
Your access to online banking has been temporarily restricted.,1,urgent,1,1,0.9454
Banking Alert: Your spending limit has been reached.,1,urgent,1,1,0.9848
"Reminder: You have $1,229.41 in unused rewards points.",0,gentle,0,1,0.4087
Your safety is our priority. Confirm this charge to unlock your card.,1,supportive,0,1,0.8096
Profile update: Email address changed.,0,direct,0,1,0.5852
"Merchant refund of $2,758.69 processed.",0,direct,0,1,0.5356
Your financial wellness score is looking good. Here is how to maintain it.,0,supportive,0,1,0.721
"Urgent: Verify this transaction of $1,584.25 to prevent account lockout.",1,urgent,1,1,0.909
Profile update: Email address changed.,0,direct,0,1,0.6641
Your contact information has been successfully updated.,0,direct,0,1,0.4386
"No action needed, just letting you know your transfer cleared.",0,gentle,0,1,0.4676
